amenity_id,property_id,amenity_name,category,description
AM001,PROP001,24/7 Gated Security with CCTV,Security,"Perimeter access control, CCTV coverage of all common areas, and trained security staff on rotating shifts."
AM002,PROP001,Rooftop Infinity Pool,Recreational,"Temperature-controlled rooftop pool on the 22nd floor with skyline views, open to residents year-round."
AM003,PROP001,Fully Equipped Gymnasium,Recreational,Dedicated fitness floor with cardio and weight-training equipment and a separate ladies' hours schedule.
AM004,PROP001,3 High-Speed Elevators per Block,Utility,Redundant elevator banks sized for peak-hour traffic across the tower's 22 floors.
AM005,PROP001,Backup Power Generators,Utility,100% load backup generators covering all apartments and common areas during outages.
AM006,PROP001,Community Mosque,Recreational,On-site mosque within the tower complex with separate prayer area for women.
AM007,PROP002,12-Acre Central Park,Recreational,"Landscaped central park with jogging track, seating areas and children's play zones shared by all blocks."
AM008,PROP002,Gated Community Security,Security,Boundary wall with manned entry/exit gates and CCTV at key junctions throughout the community.
AM009,PROP002,Underground Electrification,Utility,All utility lines run underground for uninterrupted street aesthetics and reduced outage risk.
AM010,PROP002,Community Mosque,Recreational,Central mosque serving all sectors of Emerald Gardens.
AM011,PROP002,Dedicated Visitor Parking,Utility,Marked visitor parking bays along internal roads separate from resident driveways.
AM012,PROP003,Sea-Facing Rooftop Deck,Recreational,Shared rooftop deck with seating and skyline/sea views across both towers.
AM013,PROP003,Retail Podium (Ground & 1st Floor),Utility,"In-house retail podium with grocery, pharmacy and cafe outlets for residents."
AM014,PROP003,Swimming Pool & Kids Pool,Recreational,Separate adult and children's pools on the podium level with lifeguard coverage during operating hours.
AM015,PROP003,24/7 Manned Security & CCTV,Security,"Access-controlled lobbies, CCTV-monitored corridors and manned security desks per tower."
AM016,PROP003,Backup Power Generators,Utility,Full-load backup generators for all residential floors and common areas.
AM017,PROP003,Covered Basement Parking,Utility,Three-level basement parking with allocated bays per unit.
AM018,PROP004,Office & Residential Separate Lobbies,Utility,Independent lobby and elevator access for office suites versus residential floors to manage traffic.
AM019,PROP004,24/7 CCTV Surveillance,Security,Building-wide CCTV coverage monitored from a central security desk.
AM020,PROP004,Conference & Business Lounge,Recreational,Shared meeting rooms and a business lounge available to office-suite owners.
AM021,PROP004,Backup Power Generators,Utility,Backup power for office floors and residential units during load-shedding.
AM022,PROP004,Multi-Level Parking,Utility,Dedicated parking floors for both office and residential occupants.
AM023,PROP005,Development-Stage Boundary Wall (Phase 1),Security,Phase 1 boundary wall and gated entry completed; Phase 2 wall under construction.
AM024,PROP005,"Community Park (Planned, Phase 1)",Recreational,"A 4-acre park is being developed at the center of Phase 1, targeted for completion alongside road works."
AM025,PROP005,Underground Electrification & Sui Gas,Utility,Underground electric supply and Sui gas connections provisioned for Phase 1 blocks.
AM026,PROP005,Mosque (Under Construction),Recreational,"Central mosque construction underway in Phase 1, expected completion alongside possession."
AM027,PROP006,Rooftop Community Hall,Recreational,Shared rooftop hall available for booking by residents for family events.
AM028,PROP006,24/7 Security Guard & CCTV,Security,Ground-floor security desk with CCTV covering the lobby and parking area.
AM029,PROP006,Backup Generator (Common Areas),Utility,"Generator backup for lobby, elevators and corridor lighting during outages."
AM030,PROP006,Covered Parking,Utility,One covered parking bay allocated per apartment unit.
AM031,PROP007,Phase-Wise Boundary Wall,Security,Boundary wall completed in developed blocks; later blocks fenced as development progresses.
AM032,PROP007,Water Supply Network (Developed Blocks),Utility,Piped water supply operational in possession-ready blocks.
AM033,PROP007,Community Park (Planned),Recreational,"Central park planned adjacent to the main commercial area, part of later development phases."
AM034,PROP007,Main Boulevard with Street Lighting,Utility,80-foot main boulevard with solar street lighting connecting all blocks.
AM035,PROP008,24/7 CCTV & Security Guards,Security,Entry/exit monitored by CCTV and manned security at ground level.
AM036,PROP008,Rooftop Food Court,Recreational,Operating food court on the top floor with multiple F&B tenants.
AM037,PROP008,Backup Power Generators,Utility,"Full backup power for common areas, elevators and shared signage."
AM038,PROP008,2 Passenger Elevators + 1 Service Elevator,Utility,Dedicated service elevator for goods/deliveries separate from customer-facing elevators.
