hospital_id,name,city,area,hospital_type,specialties,nearby_property_ids,distance_km
HO001,Doctors Hospital - DHA Branch,Lahore,DHA Phase 5,Private Multi-Specialty,"Cardiology, General Medicine, Maternity",PROP001,2.0
HO002,Hameed Latif Hospital,Lahore,Garden Town,Private Multi-Specialty,"Surgery, Oncology, Emergency Care",PROP001,6.5
HO003,National Hospital - Raiwind Road,Lahore,Raiwind Road,Private General Hospital,"General Medicine, Pediatrics, Emergency Care",PROP002,1.6
HO004,Sheikh Zayed Hospital,Lahore,Canal Road,Public Tertiary Care,"Nephrology, Cardiology, General Surgery",PROP002,8.0
HO005,South City Hospital,Karachi,Clifton Block 8,Private Multi-Specialty,"Maternity, Cardiology, Emergency Care",PROP003,1.3
HO006,Aga Khan University Hospital,Karachi,Stadium Road,Private Tertiary Care,"Oncology, Cardiology, Transplant Surgery",PROP003,7.2
HO007,Liaquat National Hospital,Karachi,National Stadium Road,Private Multi-Specialty,"Emergency Care, Surgery, Internal Medicine",PROP004,3.4
HO008,Ziauddin Hospital - Clifton Campus,Karachi,Clifton Block 4,Private Multi-Specialty,"Maternity, Pediatrics, General Medicine",PROP003,2.1
HO009,Shifa International Hospital,Islamabad,Sector H-8,Private Tertiary Care,"Cardiology, Oncology, Neurology",PROP006,2.5
HO010,Maroof International Hospital,Islamabad,F-10 Markaz,Private Multi-Specialty,"General Surgery, Maternity, Emergency Care",PROP006,3.1
HO011,Pakistan Institute of Medical Sciences (PIMS),Islamabad,G-8,Public Tertiary Care,"Emergency Care, Trauma, General Medicine",PROP005,9.5
HO012,Ali Medical Centre,Islamabad,F-8 Markaz,Private Multi-Specialty,"Diagnostics, Internal Medicine, Pediatrics",PROP005,7.8
HO013,Combined Military Hospital (CMH) Rawalpindi,Rawalpindi,Saddar,Public/Military Tertiary Care,"Trauma, Cardiology, General Surgery",PROP008,3.0
HO014,Benazir Bhutto Hospital,Rawalpindi,Satellite Town,Public Tertiary Care,"Emergency Care, General Medicine, Maternity",PROP007,4.5
HO015,Rawalpindi Institute of Cardiology,Rawalpindi,Chandni Chowk,Public Specialty Hospital,Cardiology,PROP007,5.2
HO016,Fauji Foundation Hospital,Rawalpindi,New Lalazar,Private Multi-Specialty,"General Medicine, Surgery, Pediatrics",PROP008,2.2
