id,query,expected_intent,predicted_intent,correct,error
R01,Who won the 2024 AFL Grand Final?,factual,factual,True,
R02,How many teams are in the AFL?,factual,factual,True,
R03,What is a behind in Australian Rules Football?,factual,factual,True,
R04,Which team has won the most AFL premierships?,factual,factual,True,
R05,Who is Nick Daicos?,factual,factual,True,
R06,What were Nick Daicos' stats last round?,retrieval,retrieval,True,
R07,How many disposals did a player have in Round 10?,retrieval,retrieval,True,
R08,What were Collingwood's results last season?,retrieval,retrieval,True,
R09,Show me the team's statistics from the previous round.,retrieval,retrieval,True,
R10,What was the fantasy score for this player last match?,retrieval,retrieval,True,
R11,Will Collingwood beat Geelong this week?,prediction,prediction,True,
R12,Who will win the next Sydney Swans match?,prediction,prediction,True,
R13,Who is likely to top-score in the next match?,prediction,prediction,True,
R14,Who will be the top fantasy player in the Collingwood game?,prediction,prediction,True,
R15,Which team is more likely to win between Carlton and Richmond?,prediction,prediction,True,
R16,What is the capital of France?,off_topic,off_topic,True,
R17,Can you help me write a Python program?,off_topic,off_topic,True,
R18,What is the weather in Islamabad today?,off_topic,off_topic,True,
R19,Tell me a joke about computers.,off_topic,off_topic,True,
R20,What is the population of Pakistan?,off_topic,off_topic,True,
